"프린터의 인자 속도","The printer's printing speed"
"붉은빛이 도는 사과","An apple with a reddish hue."
"가급적이면 빨리 가도록 해라","If possible, go quickly."
"장밋빛으로 물든 하늘","A sky tinged with rose."
"자동차 등록 사업소","A vehicle registration office."
"다음 단계에 배울 내용은 뭐지?","What will we learn in the next stage?"
"거미줄에 걸린 나방","A moth caught in a spiderweb."
"쉬! 조용히 하고 가만히 앉아","Shh! Be quiet and sit still."
"당사자가 처리할 문제","A matter for the person involved to handle."
"근육질의 단단한 몸","A solid, muscular body."
"국회 의원 보좌관","A National Assembly member's aide."
"도난 차량 신고","A report of a stolen vehicle."
"사람들의 발길에 꺾인 꽃","A flower trampled underfoot."
"국군에게 포착된 공비","A guerrilla captured by the ROK forces."
"우뚝 솟은 철탑","A towering steel tower."
"인생의 새로운 출발","A new start in life."
"끝까지 방심하지 마라","Don't let your guard down to the end."
"건물로 생긴 돈","Money made from a building."
"제복을 입고 모자를 쓴 군인","A soldier in uniform wearing a cap."
"글의 전체적 개요","The overall outline of the text."
"국민의 호응과 격려","The public's support and encouragement."
"안통이 큰 단지","A wide-mouthed jar."
"근대와 전근대의 공존","The coexistence of the modern and the premodern."
"경기 이북 지방","The northern part of Gyeonggi Province."
"흔히 일어나는 사건","A commonly occurring incident."
"풍요 속의 빈곤","Poverty amid plenty."
"올림픽 기념 건조물","An Olympic memorial structure."
"단단히 속이 찬 배추","A cabbage with a firm, full head."
"수박 한 덩어리","A whole watermelon."
"깨끗이 빤 걸레","A freshly washed rag."
"증기 기관의 발명","The invention of the steam engine."
"정성이 드러나는 선물","A gift showing heartfelt care."
"글쎄, 잘 모르겠는데요","Well, I'm not sure."
"기내 반입 제외 물품","Items excluded from carry-on baggage."
"자원 재활용 정책","A resource recycling policy."
"이 구두의 값이 얼마요?","How much are these shoes?"
"온라인 쇼핑 사업자","An online shopping business operator."
"원전에 충실한 번역","A translation faithful to the original."
"과열 입시 교육","Overheated entrance-exam education."
"손님을 어서 안방으로 모셔라","Please show the guest into the inner room."
"무늬 고운 호랑나비","A tiger swallowtail with beautiful markings."
"앞을 내다보는 통찰력","Insight that sees ahead."
"고걸 이리 좀 다오","Bring that over here."
"사업자 등록 사실 여부 확인서","A certificate verifying business registration status."
"청약 예금 가입자","A subscription savings account holder."
"아무 빈자리나 가서 앉으십시오","Please go sit in any empty seat."
"방문을 닫고 다녀라","Close the door when you go in and out."
"권세 있는 집안","A powerful family."
"소득 수준 향상","Improvement in income levels."
"잇단 범죄 사건","A series of crime incidents."
"박사 학위 수여","Conferral of doctoral degrees."
"합격 대상자 명단","The list of successful candidates."
"수사를 맡은 형사","The detective in charge of the investigation."
"사옥 이전 공사","Company headquarters relocation work."
"깨알 같은 글씨","Tiny print."
"현금의 정치 모습","Cash-based politics."
"전략이 뛰어난 지략가","A strategist with excellent tactics."
"정치 자금 유용","Misuse of political funds."
"추수가 한창인 논","Rice paddies in the midst of harvest."
"학생 1인당 월평균 사교육비","Average monthly private-education spending per student."
"관료주의에 대한 반감","Resentment toward bureaucratism."
"가슴속 깊이 간직한 추억","A memory held deep in the heart."
"청소년을 위한 철학 교실","A philosophy class for teens."
"지붕으로 스민 물","Water seeped through the roof."
"괜한 짓 하지 마라","Don't do anything unnecessary."
"반드시 시간에 맞추어 오너라","Be sure to come on time."
"충실히 자란 아이","A child who has grown up well."
"컴퓨터 프로그램 내장 방식","A method for embedding a computer program."
"이제부터 나와 친하게 지내자","From now on, let's be close friends."
"저 의자를 이쪽으로 가져오너라","Bring that chair over here."
"총에 실탄을 재 놓아라","Load live rounds into the gun."
"얼핏 떠오르는 생각","A fleeting thought."
"한강 상류 지역","The upper Han River region."
"예수 그리스도의 강생과 부활","The incarnation and resurrection of Jesus Christ."
"상식 밖의 행동","Behavior outside common sense."
"그녀에게 이 편지를 전해 주세요","Please deliver this letter to her."
"된장국 한 사발","A bowl of soybean paste soup."
"맘속으로만 생각하던 말","Words I kept only in my heart."
"카드 사용 금액 합산","Totaling card spending."
"저소득층 지원 정책","Policies to support low-income groups."
"출입 금지 구역","A restricted area."
"탄력 있는 목소리","A lively, resonant voice."
"찌는 듯한 더위","Scorching heat."
"네 뜻이 그렇다면 한번 해 봐라","If that's what you want, give it a try."
"자산이 100억 이상인 자산가","A person with assets of at least 10 billion won."
"너 말고 네 친구","Your friend, not you."
"세계 최강의 실력","World-class ability."
"앞발을 더 내밀어","Stretch your front paw further."
"빠져나가려고 버둥거리는 몸부림","A struggle to break free."
"생산 비용 최소화 방안","Measures to minimize production costs."
"하늘을 날아오르는 비행기","A plane soaring into the sky."
"귀신 들린 사람","A possessed person."
"절제 있는 생활","A disciplined life."
"체질에 맞는 보약","A tonic suited to your constitution."
"건축가가 설계한 집","A house designed by an architect."
"속이 알찬 사람","A person of substance."
"커튼이 늘어진 방","A room with curtains hanging down."
"얼싸, 좋네. 얼싸, 좋아","Hurray, that's great. Hurray, it's good."
"광산에서 석탄을 캐는 광부","A miner who digs coal in a mine."
"감성 충만 콘서트","An emotionally charged concert."
"우리 겨레의 염원","The heartfelt wish of our people."
"이슬을 머금은 꽃잎","Petals beaded with dew."
"지휘 계통의 단일화","Unification of the chain of command."
"바다와 하늘이 맞닿은 수평선","The horizon where sea and sky meet."
"시가 백만 원 상당의 시계","A watch worth about one million won."
"연소자 입장 불가 영화","A film off-limits to minors."
"태도가 분명한 사람","A person with a clear attitude."
"학교 부근의 주민들","Residents near the school."
"민간 항공기 피격 사건","The shootdown of a civilian aircraft."
"화재 예방 기간","A fire-prevention period."
"헐렁하고 얇은 코트","A loose, thin coat."
"이 뚱보 돼지야!","You fat pig!"
"복권 당첨 발표","Lottery results announcement."
"전몰 호국 영령","The spirits of those who fell defending the nation."
"가족 상실로 인한 우울증","Depression due to the loss of family."
"청중을 휘어잡는 강렬한 몸짓","Powerful gestures that captivate the audience."
"종합 편의 시설","A comprehensive amenities complex."
"산초 냄새가 향긋한 국","Soup fragrant with sancho pepper."
"저리 가 있어라","Go over there and stay."
"사교육 실태 조사","A survey of the state of private tutoring."
"행정 안전부 장관","Minister of the Ministry of the Interior and Safety."
"독을 묻힌 화살","A poisoned arrow."
"자원의 효율적 이용","Efficient use of resources."
"미스 리, 나 점심 먹고 올게","Miss Lee, I'll go eat lunch and be back."
"성장 일로에 있는 회사","A company on a steady growth path."
"화살표 방향으로 가시오","Proceed in the direction of the arrow."
"대나무로 만든 갈퀴","A rake made of bamboo."
"사법 제도 개혁","Judicial system reform."
"초보자치고는 괜찮은 솜씬데?","For a beginner, that's pretty good skill, isn't it?"
"서울시 소속의 공무원","A civil servant with the Seoul Metropolitan Government."
"태양초로 빻은 고춧가루","Chili powder ground from sun-dried peppers."
"고수의 북 반주","Drum accompaniment by a master."
"그 사람 농담에 개의치 마라","Don't pay attention to his jokes."
"사전 구속 영장 발부","Issuance of a pretrial detention warrant."
"해당 업무를 주관하는 관청","The government office in charge of that work."
"안녕, 또 만나자","Bye, see you again."
"여우에게 먹힌 닭","A chicken eaten by a fox."
"입성이 초라한 젊은이","A young person with a shabby appearance."
"일상사의 자잘한 이야기","Little stories of everyday life."
"제주 앞바다에 사는 돌고래","Dolphins living off the coast of Jeju."
"네 의견은 어떠니?","What do you think?"
"과학 연구자의 자질","Qualities of a scientific researcher."
"아카데미상을 휩쓴 영화","A film that swept the Academy Awards."
"음미할 만한 이야기","A story worth savoring."
"길가에 굴러다니는 돌","A stone rolling around by the roadside."
"자금 동원 능력","Ability to mobilize funds."
"날로 쪼들리는 서민들의 생활","Ordinary people's lives growing more strained by the day."
"두뇌 기능의 극대화","Maximizing brain function."
"아차, 우산을 놓고 왔구나!","Oops, I left my umbrella!"
"너그러운 물 흐름","A generous flow of water."
"벼농사에 적합한 기후","A climate suitable for rice farming."
"이상과 현실의 간격","The gap between ideals and reality."
"무책임한 보도 난무","Irresponsible reporting is rampant."
"구겨진 휴지 조각","A crumpled piece of tissue."
"이 판국에 헛소리하게 생겼는가","At a time like this, are you going to spout nonsense?"
"나는 청소 당번이 아니야","I'm not on cleaning duty."
"아야, 그걸 내가 미처 몰랐구나","Ouch, I hadn't realized that."
"햇볕이 쨍쨍 내리쬐는 한낮","A midday with blazing sunshine."
"돈만 있으면 제일이냐?","Is money all that matters?"
"장거리를 운행하는 화물차","A long-haul freight truck."
"부족 국가의 제사장","A priest of a tribal nation."
"원망에 찬 얼굴","A face filled with resentment."
"80리 남짓한 행정","An administrative district of about 80 ri."
"사건 해결의 주역들","The key figures who solved the case."
"보기 드문 절세미인","A rare, breathtaking beauty."
"정기 간행물 구독 신청","Subscription application for a periodical."
"필자가 안 밝혀진 책","A book with the author undisclosed."
"잘 손질한 모시 적삼","A well-tailored ramie undershirt."
"정부의 보조금을 받은 사업","A project that received government subsidies."
"농촌 문제에 대한 이론적 접근","A theoretical approach to rural issues."
"온건파와 개혁파의 충돌","A clash between moderates and reformists."
"화물 이송 열차","A cargo transport train."
"흰 티를 입은 소년","A boy in a white T-shirt."
"살다 보니 별소리를 다 듣겠군","Living life, you hear all sorts of nonsense."
"내 속뜻은 그게 아니었어","That's not what I really meant."
"방문자를 정중하게 모셔라","Receive the visitors politely."
"시장을 지나다니는 행인","Passersby walking through the market."
"관계 기사 참조","See the related articles."
"다음날에 만나면 식사나 하죠","Let's meet the next day and have a meal."
"저수지 물의 방류","Release of reservoir water."
"조율이 잘된 악기","A well-tuned instrument."
"오랜만에 소주 한잔 어때?","How about a glass of soju after a long time?"
"자태가 아름다운 여인","A woman with a graceful bearing."
"최악의 유혈 충돌","The worst bloody clash."
"고체로 쓴 글씨","Writing made with a solid medium."
"이광수 작의 <무정>","Yi Gwang-su's <Mujeong>."
"전통문화의 계승과 발전","Inheritance and development of traditional culture."
"소설의 시대별 양상","The characteristics of novels by era."
"어쭈, 네가 감히 나한테 대들어?","Oh? You dare talk back to me?"
"기름기가 많은 고기","Fatty meat."
"지하철 공사 제13공구","Subway construction Section 13."
"돌이킬 수 없는 실수","An irreversible mistake."
"한편이 되었으니 암튼 잘해 보자","Now that we're on the same side, let's do our best."
"인간의 잠재 가능성","Human potential."
"제발, 그 시시한 얘기 관둬라","Please, drop that trivial talk."
"시시각각으로 변하는 유행의 흐름","The ever-changing flow of trends."
"유리로 만든 잔","A glass cup."
"수입 금지 품목","Items banned from import."
"현행 제도의 불합리성","The irrationality of the current system."
"난데없는 아우성 소리","A sudden outcry."
"과실 수확 후 과원 관리 요령","Orchard care tips after fruit harvest."
"변종 악성 코드","A variant strain of malicious code."
"알싸한 맛이 일품인 파김치","Scallion kimchi with a wonderfully spicy bite."
"유서 깊은 고장","A place rich in history."
"그새 별일 없었지?","Nothing unusual happened in the meantime, right?"
"저게 다 뭐니?","What on earth is all that?"
"타인 발행 수표","A check issued by someone else."
"새로운 야당의 출범","The launch of a new opposition party."
"근거 없는 낭설","Groundless rumors."
"후보 지명 수락 연설","An acceptance speech for the nomination."
"방금 전에 난 소리","The sound from just a moment ago."
"출국 제한 완화","Easing of exit restrictions."
"인력과 기술이 풍부한 국가","A country rich in manpower and technology."
"계절의 여왕 오월","May, the queen of the seasons."
"아무 날 아무 시","Any day, any time."
"엥, 고얀 놈들","Huh, you cheeky punks."
"막대한 제작비가 든 초대형 영화","A blockbuster with an enormous production budget."
"이쪽으로 가까이 오너라","Come closer this way."
"최근 경제 동향","Recent economic trends."
"실전에 근사한 군사 훈련","Military training close to real combat."
"무소속 국회 의원","An independent National Assembly member."
"농수산물 가격 표시판","A price board for agricultural and fishery products."
"따스한 바깥 날씨","Warm weather outside."
"잡초만 무성한 폐허","Ruins overgrown with weeds."
"목적과 수단의 전도 현상","A reversal of ends and means."
"기적을 행하는 초능력자","A psychic who performs miracles."
"대양으로 밀려가는 물결","Waves being pushed out into the ocean."
"운동장 정지 작업","Field leveling work."
"앞바퀴 구동 형식","Front-wheel drive layout."
"팔각기둥의 여덟 모서리","The eight corners of an octagonal pillar."
"봄을 기다리는 마음","A heart waiting for spring."
"어떤 자식이 그랬어?","Which punk did that?"
"여태 그것밖에 못 했니?","That's all you could do so far?"
"타지에서 전학 온 학생","A student who transferred from another region."
"전화 한 통화만 쓸 수 있을까요?","Could I make just one phone call?"
"군중의 열렬한 환호성","The crowd's enthusiastic cheers."
"정치에 무관심한 사람","A person indifferent to politics."
"낯을 깨끗이 씻어라","Wash your face clean."
"환경 오염의 심각성","The seriousness of environmental pollution."
"인류의 달 착륙 계획","Humanity's plan to land on the moon."
"국민의 기본적 의무","Citizens' basic duties."
"화원에서 사온 식물","A plant bought from a flower shop."
"거울 속에 비친 얼굴","A face reflected in the mirror."
"두 직선의 교차","The intersection of two straight lines."
"용돈을 아껴 써라","Be frugal with your allowance."
"먹고 싶은 만큼 마음껏 먹어라","Eat as much as you want."
"끝없이 펼쳐진 들판","An endless expanse of fields."
"세상 물정에 캄캄한 사람","Someone clueless about how the world works."
"으응, 이제 한결 나아","Mm, it's a bit better now."
"주택 전파 지원금","Relief funds for completely destroyed homes."
"밥 좀 팍팍 떠먹어라","Eat up—big bites of rice."
"한없이 넓은 사막","A boundlessly vast desert."
"알맹이가 빠진 말","Empty words with no substance."
"나에게 주어진 시간","The time given to me."
"몽고의 유럽 원정","The Mongol expeditions to Europe."
"경청한 가을 하늘","An autumn sky that listened intently."
"냉전 사상의 주입","Indoctrination of Cold War ideology."
"묻혀 있던 사건의 적출","Bringing a buried case to light."
"개인 소장 문헌","Privately held documents."
"옥같이 흰 얼굴","A face white as jade."
"경구용 고형 제제","An oral solid dosage form."
"우리나라 고유의 악기인 가야금","The gayageum, a traditional instrument of our country."
"주류와 비주류의 대립과 반목","Conflict and antagonism between the mainstream and the non-mainstream."
"중급 한국어 회화","Intermediate Korean conversation."
"길섶에 핀 코스모스","Cosmos flowers blooming by the roadside."
"떠날 차비를 서둘러라","Hurry and prepare the fare for the trip."
"예술의 사회적 작용","The social function of art."
"유전 탐사 지역","An oil exploration area."
"디지털 텔레비전의 전송 방식","Digital television transmission methods."
"살인 사건의 용의자","A suspect in a murder case."
"마음을 담은 편지","A heartfelt letter."
"인공 감미료 첨가","Addition of artificial sweeteners."
"한 폭의 풍경화","A landscape painting."
"이것 참 별맛인데","This has a peculiar taste."
"하늘에 흐르는 구름","Clouds drifting across the sky."
"바닷가에서 주워 온 자갈","Pebbles picked up at the beach."
"자네가 나서기 딱하다면 그만두게","If it's awkward for you to step in, then stop."
"물자 운송 차량","A supply transport vehicle."
"친구끼리 그만한 일로 돌아서다니","Friends turning their backs over something like that."
"저의 무례를 용서해 주십시오","Please forgive my rudeness."
"다리 저는 아이를 놀리면 못써요","Don't tease a child with a limp."
